"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 06 08:21:22 GMT 2023","Sat May 06 08:21:22 GMT 2023","1","demo","","","","","cp data",""
"passed","Sat May 06 08:21:19 GMT 2023","Sat May 06 08:21:20 GMT 2023","834","demo","","","","","dd",""
"broken","Sat May 06 08:21:21 GMT 2023","Sat May 06 08:21:22 GMT 2023","1834","demo","","","","","send rand ",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","dasd",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","sadad",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","info",""
"passed","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","12","demo","","","","","get account address",""
"skipped","Sat May 06 08:21:22 GMT 2023","Sat May 06 08:21:22 GMT 2023","0","To restart the service and check the block synchronization status","","","","","restart relay and verifier service",""
"broken","Sat May 06 11:08:02 GMT 2023","Sat May 06 11:08:02 GMT 2023","1","Full Process","","","","","""before all"" hook in ""Full Process""",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","decode ",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","1","demo","","","","","transfer ver 2 empty",""
"passed","Sat May 06 08:21:17 GMT 2023","Sat May 06 08:21:19 GMT 2023","2005","config chainid is error","","","","","id is not exist on chain, expect Error: forcerelay error: no lightclient cell deployed on ckb",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","1","demo","","","","","sdasd",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","1","demo","","","","","sadas",""
"broken","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:21 GMT 2023","517","demo","","","","","send normal ",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","decode witnessArgs",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","dasda",""
"passed","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","262","demo","","","","","query tx",""
"skipped","Sat May 06 08:21:20 GMT 2023","Sat May 06 08:21:20 GMT 2023","0","demo","","","","","sad",""
